GammaRay(API),ShaleVolume,Resistivity,Sonic,Vp(m/s),Vs(m/s),Density,NeutronPorosity,DensityPorosity(g/cc),PoissonRatio,Depth(m)
65.777,0.6905,0.53,131.56,7601.0946,3097.3582,2.1416,-999.25,0.2779,0.4004,2171
61.73,0.6305,0.54,134.06,7459.3466,3003.7977,2.124,-999.25,0.2917,0.4032,2172
65.59,0.6877,0.56,133.06,7515.4066,3031.2683,2.1349,-999.25,0.2823,0.4029,2173
61.543,0.6277,0.56,132.56,7543.7538,3070.6702,2.13,-999.25,0.2881,0.4007,2174
59.793,0.6018,0.57,132.81,7529.5535,3067.0492,2.1259,-999.25,0.2918,0.4005,2175
61.23,0.623,0.6,132.56,7543.7538,3072.0242,2.1294,-999.25,0.2887,0.4006,2176
61.23,0.623,0.58,125.78,7950.3896,3390.369,2.1591,-999.25,0.27,0.3889,2177
62.949,0.6485,0.52,121.28,8245.3826,3613.3365,2.1830000000000003,-999.25,0.2537,0.3812,2178
58.074,0.5761,0.44,123.78,8078.8496,3505.3599,2.1626,-999.25,0.2699,0.384,2179
53.887,0.5139,0.34,126.03,7934.6187,3411.1453,2.1449,-999.25,0.2838,0.3866,2180
55.137,0.5325,0.29,125.78,7950.3896,3417.8984,2.1483,-999.25,0.2809,0.3866,2181
57.23,0.5635,0.3,124.03,8062.5655,3496.4825,2.1599,-999.25,0.2722,0.3842,2182
55.855,0.5429999999999999,0.33,121.78,8211.529,3619.8136,2.1679,-999.25,0.2681,0.3794,2183
52.074,0.4868,0.4,128.31,7793.6248,3308.415,2.1316,-999.25,0.2933,0.3901,2184
54.355,0.5206,0.48,128.06,7808.8396,3310.205,2.1367,-999.25,0.2886,0.3905,2185
56.043,0.5457,0.5,125.53,7966.2232,3426.3042,2.151,-999.25,0.2786,0.3865,2186
55.699,0.5405,0.49,128.31,7793.6248,3292.2788,2.138,-999.25,0.287,0.3914,2187
59.105,0.5911,0.49,126.03,7934.6187,3387.6744,2.1541,-999.25,0.2745,0.3885,2188
63.512,0.6567,0.5,125.28,7982.1201,3404.9962,2.1654,-999.25,0.2644,0.3888,2189
59.324,0.5943,0.52,124.53,8030.1935,3461.6198,2.1613,-999.25,0.2699,0.3859,2190
54.387,0.5208,0.5,125.28,7982.1201,3446.4146,2.1491,-999.25,0.2809,0.3854,2191
52.762,0.4965,0.45,128.56,7778.4692,3293.5557,2.1317,-999.25,0.2929,0.3908,2192
49.043,0.441,0.4,132.31,7558.0077,3136.2987,2.1091,-999.25,0.3094,0.396,2193
52.074,0.4861,0.32,134.06,7459.3466,3045.3536,2.1071,-999.25,0.3087,0.4,2194
53.168,0.5024,0.24,134.56,7431.629,3018.8369,2.1069,-999.25,0.3081,0.4012,2195
50.637,0.4646,0.21,134.81,7417.8473,3018.8924,2.1015,-999.25,0.3131,0.4007,2196
48.855,0.4379,0.2,136.06,7349.6987,2972.8191,2.0933,-999.25,0.3193,0.4022,2197
43.262,0.3544,0.17,134.81,7417.8473,3050.8958,2.0886,-999.25,0.3257,0.3982,2198
43.793,0.3622,0.19,134.31,7445.4619999999995,3070.4767,2.0916,-999.25,0.3236,0.3975,2199
40.512,0.3132,0.22,133.81,7473.283,3106.954,2.0879,-999.25,0.3279,0.3955,2200
35.512,0.2384,0.21,136.31,7336.2189,3020.0047,2.0691,-999.25,0.3426,0.39799999999999996,2201
38.918,0.2891,0.2,137.56,7269.5551,2952.244,2.07,-999.25,0.3399,0.4013,2202
38.512,0.2829,0.19,136.06,7349.6987,3017.7044,2.0753,-999.25,0.337,0.3986,2203
38.48,0.2823,0.17,132.06,7572.3156,3194.7441,2.0915,-999.25,0.327,0.3917,2204
43.699,0.3602,0.17,130.06,7688.759,3263.7125,2.1091,-999.25,0.3128,0.3901,2205
49.574,0.44799999999999995,0.22,129.56,7718.4316,3260.8066,2.1216,-999.25,0.3013,0.3914,2206
56.199,0.547,0.33,128.56,7778.4692,3278.428,2.1377,-999.25,0.2869,0.392,2207
57.887,0.5722,0.57,127.28,7856.6939,3332.2735,2.1463,-999.25,0.2803,0.3903,2208
58.918,0.5876,0.94,122.28,8177.9522,3579.5233,2.1709,-999.25,0.2641,0.3815,2209
63.918,0.6624,1.02,120.03,8331.2505,3676.0914,2.1906,-999.25,0.2482,0.3791,2210
67.277,0.7127,0.89,125.78,7950.3896,3363.3143,2.1698,-999.25,0.259,0.391,2211
69.902,0.752,0.75,135.56,7376.8073,2905.0062,2.1319,-999.25,0.2812,0.4082,2212
66.527,0.7015,0.55,132.06,7572.3156,3071.7259,2.1407,-999.25,0.2779,0.4015,2213
57.199,0.5617,0.37,130.81,7644.6755,3169.0273,2.1296,-999.25,0.2912,0.3962,2214
46.887,0.40700000000000003,0.25,132.56,7543.7538,3135.0708,2.104,-999.25,0.314,0.3956,2215
47.449,0.4154,0.19,134.31,7445.4619999999995,3054.9664,2.0978,-999.25,0.3175,0.3988,2216
45.262,0.3825,0.17,132.31,7558.0077,3153.5942,2.1022,-999.25,0.3161,0.3946,2217
46.543,0.4016,0.18,133.31,7501.3127,3103.1246,2.1003,-999.25,0.3165,0.3968,2218
54.918,0.5272,0.21,134.31,7445.4619999999995,3022.5624,2.1109,-999.25,0.3045,0.4013,2219
51.887,0.4816,0.29,133.81,7473.283,3057.6346,2.1076,-999.25,0.3085,0.3995,2220
54.074,0.5144,0.41,131.06,7630.0931,3171.475,2.123,-999.25,0.2975,0.3956,2221
53.48,0.5054,0.56,124.28,8046.347,3501.6537,2.1518,-999.25,0.2799,0.3832,2222
61.855,0.6312,0.67,124.53,8030.1935,3450.3286,2.1657,-999.25,0.2654,0.3868,2223
64.652,0.6733,0.68,131.31,7615.5662,3113.6424,2.1406,-999.25,0.2793,0.3996,2224
63.949,0.6627,0.53,133.31,7501.3127,3027.4213,2.1309,-999.25,0.2859,0.4027,2225
54.543,0.5212,0.32,130.81,7644.6755,3180.9466,2.1249,-999.25,0.29600000000000004,0.3953,2226
47.043,0.4083,0.19,133.06,7515.4066,3112.2908,2.1021,-999.25,0.3151,0.3965,2227
44.199,0.3654,0.15,130.56,7659.3137,3238.842,2.1076,-999.25,0.3135,0.3911,2228
43.23,0.3507,0.15,128.56,7778.4692,3337.6367,2.1144,-999.25,0.31,0.3872,2229
48.137,0.4245,0.19,124.03,8062.5655,3539.5745,2.1432,-999.25,0.2888,0.3806,2230
48.668,0.4324,0.29,121.28,8245.3826,3681.4047,2.1569,-999.25,0.28,0.3755,2231
52.887,0.4959,0.5,125.03,7998.0805,3466.6084,2.1473,-999.25,0.2831,0.3843,2232
64.465,0.6703,0.68,127.03,7872.1562,3314.9471,2.1591,-999.25,0.2678,0.3922,2233
68.215,0.7269,0.72,122.78,8144.649,3510.4476,2.1854,-999.25,0.2485,0.3859,2234
55.199,0.5306,0.68,121.03,8262.4143,3663.7079,2.1699,-999.25,0.2674,0.3776,2235
65.277,0.6826,0.64,130.56,7659.3137,3145.1058,2.145,-999.25,0.2761,0.3986,2236
67.715,0.7193,0.61,138.56,7217.0901,2789.651,2.1158,-999.25,0.2929,0.4122,2237
73.277,0.8033,0.58,142.31,7026.9131,2618.9128,2.1106,-999.25,0.2925,0.4193,2238
65.84,0.691,0.59,139.31,7178.2356,2767.1218,2.1096,-999.25,0.2981,0.4127,2239
64.027,0.6637,0.6,129.81,7703.5668,3185.2017,2.146,-999.25,0.2763,0.3969,2240
63.137,0.6502,0.57,122.03,8194.7062,3573.1794,2.1796,-999.25,0.2557,0.3826,2241
58.48,0.5798,0.51,123.03,8128.0988,3542.8533,2.1665,-999.25,0.2673,0.3827,2242
55.074,0.5283,0.44,125.03,7998.0805,3456.6585,2.1511,-999.25,0.2793,0.3852,2243
61.637,0.6275,0.37,125.78,7950.3896,3389.0213,2.1596,-999.25,0.2694,0.389,2244
55.73,0.5381,0.34,127.03,7872.1562,3354.7046,2.1433,-999.25,0.2837,0.3891,2245
49.168,0.4388,0.36,126.03,7934.6187,3434.1643,2.1359,-999.25,0.2927,0.3847,2246
49.668,0.4463,0.41,123.03,8128.0988,3584.4909,2.1504,-999.25,0.2834,0.3793,2247
62.699,0.6434,0.5,125.53,7966.2232,3396.5723,2.1626,-999.25,0.2668,0.3889,2248
67.277,0.7127,0.62,129.81,7703.5668,3170.8348,2.1518,-999.25,0.2704,0.39799999999999996,2249
60.324,0.6074,0.62,123.53,8095.1995,3508.5283,2.1675,-999.25,0.2654,0.3844,2250
66.402,0.6995,0.55,127.78,7825.9509,3270.1979,2.1592,-999.25,0.2664,0.3942,2251
72.215,0.7876,0.49,138.56,7217.0901,2770.9286,2.1237,-999.25,0.2848,0.4136,2252
78.84,0.888,0.45,140.81,7101.7683,2654.3411,2.1263,-999.25,0.2786,0.4188,2253
78.215,0.8786,0.47,137.31,7282.7908,2797.0009,2.1394,-999.25,0.2706,0.4135,2254
69.152,0.7412,0.54,130.56,7659.3137,3128.0723,2.1519,-999.25,0.26899999999999996,0.3999,2255
68.777,0.7355,0.63,122.03,8194.7062,3546.7939,2.1899,-999.25,0.2452,0.3847,2256
60.824,0.6148,0.74,115.28,8674.5316,3959.9211,2.2082,-999.25,0.2394,0.3684,2257
70.402,0.7602,0.79,120.03,8331.2505,3645.4457,2.2025,-999.25,0.23600000000000002,0.3816,2258
63.199,0.6508,0.79,125.28,7982.1201,3406.7684,2.1647,-999.25,0.2652,0.3886,2259
57.449,0.5635,0.78,120.28,8313.9342,3693.7765,2.1774,-999.25,0.2612,0.377,2260
69.027,0.7393,0.76,113.78,8788.8908,4008.3889,2.2313,-999.25,0.2188,0.3687,2261
67.965,0.7232,0.77,118.78,8418.9257,3725.3426,2.2041,-999.25,0.2368,0.3783,2262
68.902,0.7375,0.75,126.53,7903.264,3319.1782,2.1693,-999.25,0.2582,0.3929,2263
69.402,0.7451,0.69,136.56,7322.7885,2864.8887,2.127,-999.25,0.2847,0.4096,2264
77.152,0.863,0.68,141.31,7076.64,2641.5704,2.1214,-999.25,0.2829,0.4191,2265
75.09,0.8317,0.67,138.06,7243.2276,2779.1774,2.1309,-999.25,0.2782,0.4137,2266
67.09,0.7099,0.67,126.53,7903.264,3327.4035,2.1661,-999.25,0.2615,0.3923,2267
64.09,0.6642,0.68,116.78,8563.1101,3856.6972,2.2068,-999.25,0.2379,0.3728,2268
64.59,0.6718,0.66,115.53,8655.7604,3926.6179,2.214,-999.25,0.233,0.3704,2269
59.605,0.5959,0.58,116.78,8563.1101,3878.8078,2.1984,-999.25,0.2465,0.3709,2270
75.527,0.8385,0.5,126.28,7918.9104,3301.3140000000003,2.1825,-999.25,0.2449,0.3948,2271
80.652,0.9167,0.49,138.56,7217.0901,2735.8375,2.1387,-999.25,0.2693,0.4161,2272
76.652,0.8557,0.52,136.56,7322.7885,2834.2627,2.1398,-999.25,0.2714,0.4119,2273
68.152,0.7261,0.52,128.31,7793.6248,3237.1192,2.16,-999.25,0.2646,0.3958,2274
53.605,0.5042,0.53,127.28,7856.6939,3352.8174,2.1382,-999.25,0.2884,0.3887,2275
55.48,0.5327,0.57,131.31,7615.5662,3154.6715,2.1241,-999.25,0.29600000000000004,0.3964,2276
66.59,0.7023,0.62,129.31,7733.354,3197.131,2.1528,-999.25,0.2703,0.3969,2277
64.09,0.6641,0.65,120.53,8296.6896,3648.5585,2.1884,-999.25,0.2495,0.3801,2278
62.355,0.6376,0.68,118.78,8418.9257,3752.5075,2.1937,-999.25,0.2475,0.376,2279
66.277,0.6975,0.71,123.78,8078.8496,3468.1279,2.1772,-999.25,0.2551,0.387,2280
68.465,0.7309,0.69,124.28,8046.347,3432.6114,2.1789,-999.25,0.2524,0.3888,2281
70.34,0.7596,0.66,126.53,7903.264,3312.5819,2.1719999999999997,-999.25,0.2554,0.3934,2282
67.715,0.7195,0.66,128.31,7793.6248,3239.0771,2.1592,-999.25,0.2654,0.3956,2283
64.527,0.6707,0.67,122.03,8194.7062,3566.8202,2.1821,-999.25,0.2532,0.3831,2284
61.262,0.6207,0.67,119.28,8383.6351,3730.2486,2.1892,-999.25,0.2511,0.3766,2285
62.824,0.6446,0.68,127.03,7872.1562,3322.6491,2.156,-999.25,0.2709,0.3916,2286
75.277,0.8353,0.71,131.06,7630.0931,3078.2559,2.1608,-999.25,0.259,0.4028,2287
77.402,0.8679,0.71,124.03,8062.5655,3403.8875,2.1964,-999.25,0.2346,0.3916,2288
72.527,0.7932,0.71,125.03,7998.0805,3376.2686,2.1829,-999.25,0.2469,0.3916,2289
63.324,0.6522,0.71,124.53,8030.1935,3443.938,2.1683,-999.25,0.2628,0.3873,2290
61.699,0.6273,0.71,127.78,7825.9509,3291.6834,2.1506,-999.25,0.2751,0.3925,2291
58.793,0.5827,0.68,128.56,7778.4692,3267.7801,2.1419,-999.25,0.2826,0.3928,2292
63.355,0.6526,0.62,126.78,7887.6794,3332.3872,2.1581,-999.25,0.2692,0.3914,2293
64.152,0.6648,0.57,122.53,8161.2666,3542.51,2.1791,-999.25,0.2554,0.3839,2294
66.465,0.7003,0.55,122.53,8161.2666,3531.5653,2.1833,-999.25,0.251,0.3848,2295
67.402,0.7147,0.54,126.28,7918.9104,3338.1717,2.1678,-999.25,0.2602,0.3919,2296
64.527,0.6705,0.52,127.78,7825.9509,3278.7903,2.1558,-999.25,0.2699,0.3935,2297
53.949,0.508,0.47,127.03,7872.1562,3363.8082,2.1398,-999.25,0.2873,0.3883,2298
57.73,0.5661,0.39,128.31,7793.6248,3284.6245,2.141,-999.25,0.2839,0.392,2299
57.762,0.5665,0.32,130.06,7688.759,3202.1935,2.1334,-999.25,0.2886,0.3951,2300
51.605,0.4718,0.26,129.56,7718.4316,3253.6738,2.1244,-999.25,0.2985,0.3919,2301
47.355,0.4064,0.25,133.56,7487.2716,3090.6234,2.0998,-999.25,0.3166,0.3973,2302
55.637,0.5337,0.27,136.06,7349.6987,2945.4264,2.1044,-999.25,0.3083,0.4043,2303
61.012,0.6164,0.34,130.81,7644.6755,3152.9818,2.1361,-999.25,0.2847,0.3975,2304
40.105,0.2945,0.49,117.53,8508.4659,3934.4175,2.1579,-999.25,0.2855,0.364,2305
28.285999999999998,0.1124,0.65,110.53,9047.3175,4426.3291,2.1702,-999.25,0.2859,0.3427,2306
38.855,0.275,0.7,111.28,8986.3408,4320.6076,2.1866,-999.25,0.2687,0.3497,2307
,0.7965,0.25,137.81,7256.3675,2799.0029999999997,2.1278,-999.25,0.2818,0.4126,2308
,0.7391,0.2,138.06,7243.2276,2804.5841,2.1202,-999.25,0.2893,0.4118,2309
,0.6940000000000001,0.21,138.06,7243.2276,2817.0359999999996,2.1149,-999.25,0.2946,0.4109,2310
,0.7258,0.27,137.31,7282.7908,2839.0723,2.1217,-999.25,0.2889,0.4104,2311
,0.763,0.36,136.31,7336.2189,2870.3577,2.1301,-999.25,0.2819,0.4096,2312
,0.6415,0.52,134.31,7445.4619999999995,2989.7909,2.1242,-999.25,0.2911,0.4039,6313
,0.6327,0.7,127.78,7825.9509,3290.0682,2.1513,-999.25,0.2744,0.3927,6314
,0.6384,0.79,125.78,7950.3896,3385.7098,2.1609,-999.25,0.2681,0.3892,2315
,0.5932,0.72,126.28,7918.9104,3374.7286,2.1533,-999.25,0.275,0.389,2316
,0.6428,0.61,123.78,8078.8496,3484.8607,2.1706,-999.25,0.2618,0.3857,2317
53.918,0.5231,0.53,124.78,8014.1048,3470.835,2.1517,-999.25,0.2792,0.3846,2318
53.793,0.5213,0.51,125.78,7950.3896,3421.2971,2.1469,-999.25,0.2822,0.3864,2319
56.543,0.5603,0.5,124.53,8030.1935,3472.058,2.1572,-999.25,0.27399999999999997,0.385,2320
57.73,0.5771,0.48,124.03,8062.5655,3492.2926,2.1615,-999.25,0.2705,0.3845,2321
57.199,0.5695,0.43,126.78,7887.6794,3357.3992,2.1482,-999.25,0.2792,0.3894,2322
52.105,0.4971,0.38,131.56,7601.0946,3153.7461,2.1188,-999.25,0.3008,0.396,2323
51.137,0.4833,0.36,131.81,7586.6778,3146.4565,2.1162,-999.25,0.3031,0.3961,2324
59.762,0.6058,0.33,130.31,7674.0081,3179.0545,2.137,-999.25,0.2846,0.3964,2325
54.168,0.5263,0.33,130.81,7644.6755,3179.4442,2.1255,-999.25,0.2954,0.3954,2326
49.199,0.4556,0.34,129.31,7733.354,3270.2895,2.1236,-999.25,0.2997,0.3911,2327
45.543,0.4036,0.37,132.31,7558.0077,3147.3555,0.0,-999.25,0.3137,0.3951,2328
47.48,0.431,0.44,127.28,7856.6939,3375.0354,0.0,-999.25,0.2971,0.3869,2329
56.512,0.5594,0.55,119.03,8401.2434,3763.5865,0.0,-999.25,0.2579,0.3745,2330
59.824,0.6065,0.68,116.03,8618.4607,3918.7153,0.0,-999.25,0.2428,0.3697,2331
58.105,0.5820000000000001,0.65,118.03,8472.4223,3812.1862,0.0,-999.25,0.2521,0.3731,2332
53.418,0.5153,0.5,126.78,7887.6794,3373.8286,2.1417,-999.25,0.2857,0.38799999999999996,2333
56.48,0.5588,0.38,130.31,7674.0081,3192.8934,2.1315,-999.25,0.2902,0.3953,2334
58.543,0.5882,0.31,130.56,7659.3137,3172.7241,2.1338,-999.25,0.2874,0.3964,2335
58.199,0.5832,0.28,132.81,7529.5535,3072.4126,2.1237,-999.25,0.294,0.4001,2336
47.105,0.4251,0.31,131.56,7601.0946,3175.0315,2.1104,-999.25,0.3093,0.3943,2337
